""," "," "," "," "," "," ","Unadjusted difference: Intervention vs. Control"," ","Age- and sex- adjusted difference: Intervention vs. Control"," ","Fully adjusted difference: Intervention vs. Control"," ","IPCW adjusted difference: Intervention vs. Control"," "
"1","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","95% CI","P-value","95% CI","P-value","95% CI","P-value","95% CI","P-value"
"2","Ln IL-1Ã<U+008E>Â² (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"3","Control","285","1.07","0.68","-0.26","1.01"," "," "," "," "," "," "," "," "
"4","Nutrition + WSH","309","1.25","0.85","-0.19","1.15","0.07 (-0.2, 0.34)","1","0.07 (-0.21, 0.34)","1","0.04 (-0.24, 0.32)","1","0.05 (-0.23, 0.33)","1"
"5","Ln IL-6 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","Control","285","2.49","1.51","0.72","0.67"," "," "," "," "," "," "," "," "
"7","Nutrition + WSH","309","3.11","2.15","0.86","0.82","0.15 (-0.01, 0.31)","0.14","0.12 (-0.04, 0.28)","0.29","0.12 (-0.04, 0.28)","0.27","0.11 (-0.06, 0.28)","0.39"
"8","Ln TNF-Ã<U+008E>Â± (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"9","Control","285","6.99","3.33","1.83","0.5"," "," "," "," "," "," "," "," "
"10","Nutrition + WSH","311","7.14","3.94","1.8","0.61","-0.03 (-0.17, 0.11)","1","-0.02 (-0.16, 0.12)","1","0.01 (-0.14, 0.16)","1","-0.07 (-0.23, 0.08)","0.69"
"11","Ln CRP (mg/L)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"12","Control","253","4.43","16.1","-0.1","1.63"," "," "," "," "," "," "," "," "
"13","Nutrition + WSH","290","4.35","9.87","0.27","1.57","0.37 (0.07, 0.67)","0.03","0.32 (0.04, 0.61)","0.05","0.26 (-0.08, 0.61)","0.27","0.22 (-0.05, 0.5)","0.22"
"14","Ln IL-12 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"15","Control","285","2.95","1.23","0.98","0.52"," "," "," "," "," "," "," "," "
"16","Nutrition + WSH","310","2.95","1.48","0.88","0.8","-0.09 (-0.24, 0.05)","0.42","-0.1 (-0.25, 0.05)","0.41","-0.06 (-0.23, 0.11)","0.94","-0.09 (-0.24, 0.05)","0.44"
"17","Ln IFN-Ã<U+008E>Â³ (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"18","Control","285","8.53","3.99","2.05","0.45"," "," "," "," "," "," "," "," "
"19","Nutrition + WSH","311","8.91","5.07","2.03","0.6","-0.02 (-0.14, 0.11)","1","-0.02 (-0.15, 0.11)","1","0.03 (-0.12, 0.17)","1","0 (-0.13, 0.14)","1"
"20","Ln IL-4 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"21","Control","285","55.54","33.48","3.87","0.54"," "," "," "," "," "," "," "," "
"22","Nutrition + WSH","310","65.89","53.12","3.96","0.67","0.09 (-0.07, 0.25)","0.55","0.09 (-0.07, 0.25)","0.58","0.12 (-0.04, 0.27)","0.29","0.13 (-0.03, 0.29)","0.24"
"23","Ln IL-5 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"24","Control","285","1.96","1.35","0.49","0.67"," "," "," "," "," "," "," "," "
"25","Nutrition + WSH","311","2.29","1.7","0.66","0.6","0.17 (0.05, 0.3)","0.02","0.16 (0.02, 0.29)","0.05","0.21 (0.07, 0.36)","<0.01","0.2 (0.08, 0.32)","<0.01"
"26","Ln IL-13 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"27","Control","285","8.33","14.23","1.6","0.96"," "," "," "," "," "," "," "," "
"28","Nutrition + WSH","308","9.59","11.72","1.73","1.16","0.13 (-0.13, 0.38)","0.65","0.13 (-0.13, 0.39)","0.67","0.14 (-0.13, 0.41)","0.6","0.16 (-0.13, 0.44)","0.56"
"29","Ln IL-17A (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"30","Control","285","5.91","4.43","1.61","0.56"," "," "," "," "," "," "," "," "
"31","Nutrition + WSH","311","5.71","3.59","1.54","0.73","-0.07 (-0.24, 0.09)","0.74","-0.09 (-0.25, 0.08)","0.6","-0.07 (-0.24, 0.1)","0.82","-0.11 (-0.26, 0.03)","0.26"
"32","Ln IL-21 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"33","Control","282","1.96","1.35","0.38","0.9"," "," "," "," "," "," "," "," "
"34","Nutrition + WSH","305","2.12","1.64","0.46","0.86","0.09 (-0.12, 0.3)","0.83","0.09 (-0.13, 0.3)","0.88","0.07 (-0.14, 0.28)","0.99","0.08 (-0.14, 0.3)","0.98"
"35","Ln IL-10 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"36","Control","284","11.07","6.11","2.23","0.69"," "," "," "," "," "," "," "," "
"37","Nutrition + WSH","310","12.69","9.63","2.33","0.7","0.1 (-0.05, 0.25)","0.41","0.1 (-0.05, 0.26)","0.39","0.12 (-0.03, 0.28)","0.25","0.05 (-0.11, 0.22)","1"
"38","Ln IL-2 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"39","Control","283","1.34","4.48","-0.4","1.18"," "," "," "," "," "," "," "," "
"40","Nutrition + WSH","304","1.19","0.96","-0.32","1.19","0.08 (-0.2, 0.36)","1","0.06 (-0.22, 0.34)","1","-0.03 (-0.32, 0.27)","1","-0.08 (-0.38, 0.22)","1"
"41","Ln GM-CSF (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"42","Control","285","108.84","243.15","4.12","0.93"," "," "," "," "," "," "," "," "
"43","Nutrition + WSH","311","87.37","102","4.06","0.9","-0.06 (-0.24, 0.11)","0.96","-0.01 (-0.23, 0.2)","1","0.02 (-0.18, 0.22)","1","0.02 (-0.16, 0.2)","1"
"44","Ln AGP (g/L)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"45","Control","253","1.09","0.5","-0.02","0.46"," "," "," "," "," "," "," "," "
"46","Nutrition + WSH","277","1.13","0.54","0.02","0.44","0.04 (-0.06, 0.14)","0.94","0.04 (-0.07, 0.14)","0.98","0.02 (-0.07, 0.11)","1","0.02 (-0.08, 0.12)","1"
"47","Ln IGF-1 (Ã<U+008E>Â¼g/L)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"48","Control","252","40.76","21.96","3.55","0.61"," "," "," "," "," "," "," "," "
"49","Nutrition + WSH","277","36.42","20.18","3.44","0.6","-0.11 (-0.22, 0)","0.12","-0.1 (-0.21, 0.01)","0.15","-0.04 (-0.15, 0.07)","0.89","-0.06 (-0.16, 0.04)","0.47"
