""," "," "," "," "," "," ","Unadjusted difference: Intervention vs. Control"," ","Age- and sex- adjusted difference: Intervention vs. Control"," ","Fully adjusted difference: Intervention vs. Control"," ","IPCW adjusted difference: Intervention vs. Control"," "
"1","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","95% CI","P-value","95% CI","P-value","95% CI","P-value","95% CI","P-value"
"2","Ln IL-1Ã<U+008E>Â² (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"3","Control","313","1.21","0.74","-0.12","0.98"," "," "," "," "," "," "," "," "
"4","Nutrition + WSH","365","1.19","0.81","-0.24","1.14","-0.12 (-0.39, 0.15)","0.79","-0.12 (-0.39, 0.15)","0.78","-0.14 (-0.4, 0.12)","0.6","-0.04 (-0.35, 0.28)","1"
"5","Ln IL-6 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","Control","313","2.78","2.4","0.76","0.76"," "," "," "," "," "," "," "," "
"7","Nutrition + WSH","366","2.45","1.93","0.54","0.96","-0.21 (-0.44, 0.02)","0.13","-0.21 (-0.44, 0.02)","0.13","-0.22 (-0.45, 0.01)","0.13","-0.19 (-0.41, 0.03)","0.19"
"8","Ln TNF-Ã<U+008E>Â± (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"9","Control","313","5.03","2.55","1.48","0.57"," "," "," "," "," "," "," "," "
"10","Nutrition + WSH","367","5.3","2.59","1.54","0.53","0.06 (-0.08, 0.2)","0.78","0.05 (-0.09, 0.19)","0.95","0.04 (-0.09, 0.17)","1","0.06 (-0.08, 0.21)","0.77"
"11","Ln CRP (mg/L)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"12","Control","310","2.04","3.93","-0.16","1.25"," "," "," "," "," "," "," "," "
"13","Nutrition + WSH","372","3.39","10.37","-0.11","1.41","0.05 (-0.15, 0.26)","1","0.05 (-0.16, 0.25)","1","0.02 (-0.17, 0.22)","1","-0.11 (-0.37, 0.14)","0.77"
"14","Ln IL-12 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"15","Control","313","2.82","1.45","0.89","0.64"," "," "," "," "," "," "," "," "
"16","Nutrition + WSH","367","2.7","1.4","0.82","0.7","-0.06 (-0.23, 0.11)","0.92","-0.07 (-0.23, 0.1)","0.89","-0.08 (-0.22, 0.07)","0.57","0 (-0.18, 0.19)","1"
"17","Ln IFN-Ã<U+008E>Â³ (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"18","Control","313","8.95","7.24","2.01","0.64"," "," "," "," "," "," "," "," "
"19","Nutrition + WSH","367","7.87","4.4","1.9","0.61","-0.1 (-0.26, 0.06)","0.43","-0.1 (-0.26, 0.06)","0.41","-0.09 (-0.23, 0.05)","0.41","0 (-0.21, 0.21)","1"
"20","Ln IL-4 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"21","Control","313","57.6","35.87","3.89","0.58"," "," "," "," "," "," "," "," "
"22","Nutrition + WSH","367","52.25","43.12","3.73","0.67","-0.16 (-0.32, 0)","0.1","-0.15 (-0.31, 0.01)","0.14","-0.15 (-0.31, 0.01)","0.15","-0.18 (-0.36, 0.01)","0.13"
"23","Ln IL-5 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"24","Control","313","1.86","1.35","0.39","0.79"," "," "," "," "," "," "," "," "
"25","Nutrition + WSH","367","1.79","1.13","0.39","0.7","0.01 (-0.15, 0.16)","1","0.01 (-0.15, 0.16)","1","-0.02 (-0.18, 0.14)","1","0.04 (-0.15, 0.24)","1"
"26","Ln IL-13 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"27","Control","311","9.41","18.67","1.58","1.16"," "," "," "," "," "," "," "," "
"28","Nutrition + WSH","366","6.92","8.3","1.43","1.12","-0.15 (-0.47, 0.17)","0.73","-0.15 (-0.48, 0.17)","0.71","-0.13 (-0.4, 0.14)","0.67","-0.09 (-0.44, 0.26)","1"
"29","Ln IL-17A (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"30","Control","313","5.09","3.52","1.45","0.63"," "," "," "," "," "," "," "," "
"31","Nutrition + WSH","367","5.01","2.93","1.43","0.65","-0.02 (-0.19, 0.16)","1","-0.02 (-0.19, 0.16)","1","-0.02 (-0.17, 0.13)","1","-0.05 (-0.27, 0.17)","1"
"32","Ln IL-21 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"33","Control","308","1.9","1.3","0.37","0.86"," "," "," "," "," "," "," "," "
"34","Nutrition + WSH","362","2.07","5.7","0.24","0.97","-0.13 (-0.31, 0.06)","0.37","-0.13 (-0.31, 0.06)","0.35","-0.1 (-0.28, 0.09)","0.59","-0.11 (-0.29, 0.06)","0.41"
"35","Ln IL-10 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"36","Control","312","9.69","14.78","2.02","0.67"," "," "," "," "," "," "," "," "
"37","Nutrition + WSH","363","10.32","8.01","2.09","0.78","0.07 (-0.08, 0.22)","0.78","0.06 (-0.09, 0.21)","0.82","0.06 (-0.08, 0.2)","0.76","0.11 (-0.05, 0.26)","0.34"
"38","Ln IL-2 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"39","Control","310","1.18","0.85","-0.23","1.08"," "," "," "," "," "," "," "," "
"40","Nutrition + WSH","361","1.57","6.67","-0.35","1.23","-0.12 (-0.37, 0.12)","0.64","-0.12 (-0.37, 0.12)","0.64","-0.11 (-0.35, 0.14)","0.79","-0.1 (-0.34, 0.15)","0.86"
"41","Ln GM-CSF (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"42","Control","313","150.92","188.02","4.54","1.01"," "," "," "," "," "," "," "," "
"43","Nutrition + WSH","367","176.35","255.09","4.63","1.07","0.08 (-0.14, 0.31)","0.94","0.08 (-0.15, 0.31)","0.96","0.06 (-0.13, 0.25)","1","0.18 (-0.03, 0.39)","0.2"
"44","Ln AGP (g/L)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"45","Control","108","0.9","0.57","-0.23","0.48"," "," "," "," "," "," "," "," "
"46","Nutrition + WSH","243","0.98","0.68","-0.18","0.52","0.06 (-0.04, 0.15)","0.46","0.07 (-0.03, 0.16)","0.38","0.08 (-0.02, 0.17)","0.21","0.2 (0.11, 0.29)","<0.001"
"47","Ln IGF-1 (Ã<U+008E>Â¼g/L)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"48","Control","325","52.87","25.1","3.86","0.48"," "," "," "," "," "," "," "," "
"49","Nutrition + WSH","379","50.45","25.02","3.8","0.5","-0.06 (-0.13, 0.02)","0.28","-0.06 (-0.14, 0.02)","0.23","-0.01 (-0.08, 0.07)","1","0.01 (-0.06, 0.08)","1"
