""," ","Female"," "," "," "," ","Male"," "," "," "," ","P-value for interaction"
"1","Outcome, Arm","N","Mean","SD","Unadjusted difference: Intervention vs.Control (95% CI)","P-value","N","Mean","SD","Unadjusted difference:Intervention vs.Control (95% CI)","P-value",""
"2","Ln IL-1b (pg/ml)","","","","","","","","","","",""
"3","Control","159","-0.04","0.88","","","154","-0.2","1.08","","",""
"4","Nutrition + WSH","189","-0.16","1.14","-0.12 (-0.43, 0.18)","0.86","176","-0.32","1.15","-0.11 (-0.42, 0.2)","0.96","1"
"5","Ln IL-6 (pg/ml)","","","","","","","","","","",""
"6","Control","159","0.74","0.75","","","154","0.78","0.78","","",""
"7","Nutrition + WSH","190","0.56","0.93","-0.17 (-0.41, 0.07)","0.32","176","0.52","1","-0.26 (-0.52, 0.01)","0.12","0.91"
"8","Ln TNF-a (pg/ml)","","","","","","","","","","",""
"9","Control","159","1.51","0.49","","","154","1.46","0.64","","",""
"10","Nutrition + WSH","190","1.56","0.49","0.05 (-0.11, 0.22)","1","177","1.52","0.57","0.07 (-0.09, 0.23)","0.83","1"
"11","Ln CRP (mg/L)","","","","","","","","","","",""
"12","Control","155","-0.14","1.26","","","155","-0.18","1.25","","",""
"13","Nutrition + WSH","197","0","1.32","0.15 (-0.12, 0.42)","0.57","175","-0.23","1.5","-0.06 (-0.38, 0.27)","1","0.71"
"14","Ln IL-12 (pg/ml)","","","","","","","","","","",""
"15","Control","159","0.98","0.58","","","154","0.8","0.69","","",""
"16","Nutrition + WSH","190","0.87","0.69","-0.1 (-0.28, 0.08)","0.54","177","0.77","0.7","-0.03 (-0.23, 0.17)","1","0.81"
"17","Ln IFN-y (pg/ml)","","","","","","","","","","",""
"18","Control","159","2.07","0.59","","","154","1.94","0.69","","",""
"19","Nutrition + WSH","190","1.96","0.64","-0.11 (-0.28, 0.07)","0.47","177","1.84","0.58","-0.1 (-0.28, 0.08)","0.55","1"
"20","Ln IL-4 (pg/ml)","","","","","","","","","","",""
"21","Control","159","3.92","0.54","","","154","3.87","0.62","","",""
"22","Nutrition + WSH","190","3.81","0.65","-0.11 (-0.26, 0.05)","0.34","177","3.65","0.68","-0.22 (-0.41, -0.03)","0.05","0.25"
"23","Ln IL-5 (pg/ml)","","","","","","","","","","",""
"24","Control","159","0.37","0.69","","","154","0.4","0.89","","",""
"25","Nutrition + WSH","190","0.49","0.57","0.12 (-0.03, 0.26)","0.23","177","0.29","0.8","-0.11 (-0.34, 0.11)","0.65","0.06"
"26","Ln IL-13 (pg/ml)","","","","","","","","","","",""
"27","Control","158","1.67","1.02","","","153","1.49","1.29","","",""
"28","Nutrition + WSH","189","1.58","1.01","-0.1 (-0.39, 0.2)","1","177","1.28","1.22","-0.21 (-0.62, 0.19)","0.61","0.86"
"29","Ln IL-17A (pg/ml)","","","","","","","","","","",""
"30","Control","159","1.47","0.62","","","154","1.43","0.64","","",""
"31","Nutrition + WSH","190","1.53","0.65","0.07 (-0.11, 0.24)","0.88","177","1.33","0.64","-0.11 (-0.31, 0.1)","0.63","0.07"
"32","Ln IL-21 (pg/ml)","","","","","","","","","","",""
"33","Control","156","0.39","0.88","","","152","0.34","0.84","","",""
"34","Nutrition + WSH","186","0.32","0.93","-0.08 (-0.31, 0.16)","1","176","0.17","1","-0.18 (-0.4, 0.05)","0.24","0.96"
"35","Ln IL-10 (pg/ml)","","","","","","","","","","",""
"36","Control","158","2.1","0.66","","","154","1.94","0.68","","",""
"37","Nutrition + WSH","190","2.2","0.69","0.11 (-0.07, 0.28)","0.49","173","1.96","0.85","0.02 (-0.16, 0.2)","1","0.79"
"38","Ln IL-2 (pg/ml)","","","","","","","","","","",""
"39","Control","157","-0.23","1.09","","","153","-0.23","1.08","","",""
"40","Nutrition + WSH","188","-0.29","1.2","-0.06 (-0.35, 0.22)","1","173","-0.42","1.27","-0.19 (-0.54, 0.16)","0.59","1"
"41","Ln GM-CSF (pg/ml)","","","","","","","","","","",""
"42","Control","159","4.58","0.9","","","154","4.5","1.1","","",""
"43","Nutrition + WSH","190","4.73","1.08","0.15 (-0.11, 0.41)","0.49","177","4.51","1.05","0.01 (-0.26, 0.27)","1","0.57"
"44","Ln AGP (g/L)","","","","","","","","","","",""
"45","Control","60","-0.2","0.5","","","48","-0.28","0.46","","",""
"46","Nutrition + WSH","129","-0.15","0.5","0.05 (-0.1, 0.19)","1","114","-0.21","0.53","0.07 (-0.04, 0.19)","0.43","1"
"47","Ln IGF-1 (ug/L)","","","","","","","","","","",""
"48","Control","165","3.97","0.46","","","160","3.74","0.47","","",""
"49","Nutrition + WSH","200","3.88","0.52","-0.09 (-0.19, 0.02)","0.2","179","3.71","0.45","-0.03 (-0.14, 0.08)","1","0.91"
