""," ","Female"," "," "," "," ","Male"," "," "," ","P-value for interaction"
"1","Outcome","N","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","P-value","N","Mean","Unadjusted difference: Intervention vs. Control (95% CI)","P-value"," "
"2","Ln IL-1Ã<U+008E>Â²/IL-10","306","-2.49","0.98","-0.12 (-0.35, 0.12)","0.33","286","-2.52","0.08 (-0.16, 0.32)","0.52","0.06"
"3","Ln IL-6/IL-10","306","-1.49","0.86","0 (-0.2, 0.2)","0.98","286","-1.49","0.11 (-0.12, 0.33)","0.35","0.38"
"4","Ln TNF-Ã<U+008E>Â±/IL-10","306","-0.51","0.7","-0.2 (-0.36, -0.04)","0.01","288","-0.42","-0.03 (-0.17, 0.1)","0.63","0.11"
"5","Ln IL-12/IL-10","305","-1.33","0.64","-0.25 (-0.39, -0.1)","0","288","-1.36","-0.14 (-0.3, 0.02)","0.08","0.28"
"6","Ln IFN-Ã<U+008E>Â³/IL-10","306","-0.26","0.59","-0.17 (-0.29, -0.04)","0.01","288","-0.23","-0.04 (-0.19, 0.11)","0.57","0.16"
"7","Ln IL-4/IL-10","306","1.63","0.71","-0.04 (-0.21, 0.14)","0.67","287","1.64","0.04 (-0.13, 0.21)","0.66","0.48"
"8","Ln IL-5/IL-10","306","-1.72","0.75","0.02 (-0.16, 0.2)","0.85","288","-1.69","0.13 (-0.01, 0.28)","0.07","0.26"
"9","Ln IL-13/IL-10","304","-0.62","1","-0.03 (-0.3, 0.25)","0.85","288","-0.62","0.08 (-0.16, 0.31)","0.52","0.54"
"10","Ln IL-17A/IL-10","306","-0.68","0.67","-0.19 (-0.38, -0.01)","0.04","288","-0.73","-0.13 (-0.27, 0.02)","0.08","0.48"
"11","Ln IL-21/IL-10","301","-1.85","1.02","-0.01 (-0.27, 0.25)","0.92","284","-1.89","-0.01 (-0.26, 0.24)","0.94","0.98"
"12","Ln IL-2/IL-10","302","-2.67","1.26","0.01 (-0.3, 0.31)","0.97","283","-2.62","-0.01 (-0.33, 0.32)","0.97","0.95"
"13","Ln GM-CSF/IL-10","306","1.83","0.98","-0.16 (-0.38, 0.06)","0.15","288","1.78","-0.16 (-0.36, 0.05)","0.13","0.98"
"14","Ln IL-12/IL-4","306","-2.97","0.58","-0.21 (-0.37, -0.06)","0.01","288","-3.01","-0.16 (-0.3, -0.01)","0.03","0.52"
"15","Ln IFN-Ã<U+008E>Â³/IL-4","307","-1.89","0.5","-0.13 (-0.26, 0)","0.06","288","-1.87","-0.08 (-0.19, 0.03)","0.14","0.54"
"16","Ln IL-12/IL-5","306","0.38","0.69","-0.28 (-0.45, -0.1)","0","289","0.32","-0.25 (-0.43, -0.08)","0","0.83"
"17","Ln IFN-Ã<U+008E>Â³/IL-5","307","1.46","0.63","-0.19 (-0.36, -0.03)","0.02","289","1.46","-0.18 (-0.33, -0.03)","0.02","0.92"
"18","Ln IL-12/IL-13","303","-0.73","0.87","-0.26 (-0.5, -0.01)","0.04","289","-0.75","-0.19 (-0.41, 0.03)","0.09","0.68"
"19","Ln IFN-Ã<U+008E>Â³/IL-13","304","0.36","0.85","-0.16 (-0.4, 0.08)","0.18","289","0.38","-0.12 (-0.31, 0.08)","0.23","0.78"
"20","Ln IL-12/IL-17A","306","-0.65","0.49","-0.05 (-0.16, 0.06)","0.35","289","-0.64","0.01 (-0.13, 0.15)","0.89","0.41"
"21","Ln IFN-Ã<U+008E>Â³/IL-17A","307","0.43","0.48","0.04 (-0.08, 0.15)","0.54","289","0.49","0.08 (-0.09, 0.25)","0.36","0.6"
"22","Ln IL-12/IL-21","301","0.5","0.96","-0.26 (-0.53, 0.02)","0.06","285","0.51","-0.11 (-0.37, 0.15)","0.4","0.35"
"23","Ln IFN-Ã<U+008E>Â³/IL-21","302","1.58","0.89","-0.16 (-0.41, 0.09)","0.21","285","1.66","-0.03 (-0.25, 0.2)","0.82","0.34"
"24","Ln Pro-inflammatory cytokines/IL-10","306","1.28","0.64","-0.06 (-0.2, 0.08)","0.42","284","1.31","0.08 (-0.08, 0.24)","0.31","0.11"
"25","Ln Th1/IL-10","305","1.11","0.55","-0.19 (-0.32, -0.07)","0","288","1.11","-0.06 (-0.2, 0.08)","0.38","0.13"
"26","Ln Th2/IL-10","304","0.86","0.65","-0.01 (-0.15, 0.14)","0.92","287","0.89","0.1 (-0.04, 0.25)","0.15","0.27"
"27","Ln Th17/IL-10","301","0.73","0.7","-0.12 (-0.29, 0.06)","0.2","284","0.7","-0.06 (-0.2, 0.08)","0.4","0.62"
"28","Ln Th1/Th2","303","0.24","0.45","-0.2 (-0.3, -0.1)","0","288","0.22","-0.16 (-0.27, -0.06)","0","0.65"
"29","Ln Th1/Th17","301","0.37","0.49","-0.08 (-0.22, 0.06)","0.24","285","0.41","0 (-0.13, 0.12)","0.97","0.33"
